UDID,TO_ACTION,secondCateName,GPS_geo
5def4d2f73db1544,GPS,,"(31.763430,119.950768)"
5def4d2f73db1544,GPS,,"(31.763430,119.950768)"
5def4d2f73db1544,GPS,,"(31.763437,119.950836)"
5def4d2f73db1544,GPS,,"(31.763430,119.950768)"
5def4d2f73db1544,/viewAd,shouji,
5def4d2f73db1544,GPS,,"(31.763430,119.950768)"
5def4d2f73db1544,GPS,,"(31.763430,119.950768)"
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,GPS,,"(31.269995,121.467949)"
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e5f5c35b244d0a6,/viewAd,zhengzu,
5e721715b21eea01,GPS,,"(33.580524,118.888405)"
5e721715b21eea01,GPS,,"(33.579960,118.888748)"
5e721715b21eea01,/viewAd,nvzhaonan,
5e721715b21eea01,/viewAd,nvzhaonan,
5e721715b21eea01,/viewAd,nvzhaonan,
5e721715b21eea01,/viewAd,nvzhaonan,
5e721715b21eea01,/viewAd,nvzhaonan,
5e721715b21eea01,/viewAd,nvzhaonan,
5e721715b21eea01,GPS,,"(33.579960,118.888748)"
5ed562827f0ce217,GPS,,"(43.905167,126.554749)"
5ed562827f0ce217,GPS,,"(43.904724,126.563995)"
5ed562827f0ce217,/viewAd,xinfangchushou,
5ed562827f0ce217,GPS,,"(43.905167,126.554749)"
5ed562827f0ce217,/viewAd,xinfangchushou,
5ed562827f0ce217,GPS,,"(43.887894,126.569351)"
5ed562827f0ce217,/viewAd,xinfangchushou,
5edba21ea21817c,GPS,,"(34.147461,112.457741)"
5edba21ea21817c,GPS,,"(34.147461,112.457741)"
5edba21ea21817c,/viewAd,ershouqiche,
5edba21ea21817c,/viewAd,ershouqiche,
5edba21ea21817c,GPS,,"(34.147411,112.457741)"
5edba21ea21817c,GPS,,"(34.147457,112.457718)"
5edba21ea21817c,/viewAd,ershouqiche,
5edba21ea21817c,GPS,,"(34.147461,112.457741)"
5edba21ea21817c,/viewAd,ershouqiche,
5edba21ea21817c,GPS,,"(34.147461,112.457741)"
5edba21ea21817c,/viewAd,ershouqiche,
5edba21ea21817c,GPS,,"(34.147457,112.457718)"
5edba21ea21817c,GPS,,"(34.147461,112.457741)"
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
