@relation gps_clustered

@attribute Instance_number numeric
@attribute udid string
@attribute jingdu numeric
@attribute weidu numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
209,7270bfb8ef40d9f2a8af87093d71e44f,0.355679,0.676059,cluster10
210,7711dfe0d723ef094f262ecddb261664,0.286072,0.612233,cluster1
211,7711dfe0d723ef094f262ecddb261664,0.286076,0.612233,cluster1
212,7e263423a5258985821c196fc86f9ac7,0.305706,0.625308,cluster2
213,800330dcb161c8b82b3decc235498b5a,0.357959,0.674911,cluster10
214,800330dcb161c8b82b3decc235498b5a,0.357942,0.674913,cluster10
215,7711dfe0d723ef094f262ecddb261664,0.286084,0.612235,cluster1
216,7711dfe0d723ef094f262ecddb261664,0.286095,0.612239,cluster1
217,78ad893ce381641ded5c93eda6f7cd6a,0.364313,0.666195,cluster7
218,81758d4e5a5803b3e4e07a75d255596e,0.358101,0.674852,cluster10
219,81758d4e5a5803b3e4e07a75d255596e,0.358098,0.674851,cluster10
220,81758d4e5a5803b3e4e07a75d255596e,0.358096,0.67485,cluster10
221,81758d4e5a5803b3e4e07a75d255596e,0.358094,0.67485,cluster10
222,727c77a7f424d0b5e99330207da069ce,0.34109,0.675227,cluster10
223,727c77a7f424d0b5e99330207da069ce,0.341201,0.67519,cluster10
224,727c77a7f424d0b5e99330207da069ce,0.341214,0.67519,cluster10
225,79bac1256df51bb553d73203604e678b,0.352384,0.589396,cluster2
226,79bac1256df51bb553d73203604e678b,0.352383,0.589396,cluster2
227,83b6c5c95572ab0132a3224da3973fcc,0.462307,0.646175,cluster6
228,86c01ead1c4f494c4fe39952913ecad1,0.32943,0.666799,cluster10
229,86c01ead1c4f494c4fe39952913ecad1,0.32943,0.666799,cluster10
230,86c01ead1c4f494c4fe39952913ecad1,0.330006,0.666562,cluster10
231,86c01ead1c4f494c4fe39952913ecad1,0.329998,0.666571,cluster10
232,86c01ead1c4f494c4fe39952913ecad1,0.32943,0.666799,cluster10
233,8d7ab86ea6616666e0637efa2e704521,0.385445,0.661688,cluster5
234,8d7ab86ea6616666e0637efa2e704521,0.385475,0.661664,cluster5
235,8312f3db470108d2c6094c21678b053d,0.262752,0.630856,cluster1
236,8312f3db470108d2c6094c21678b053d,0.262781,0.630864,cluster1
237,8312f3db470108d2c6094c21678b053d,0.262761,0.630853,cluster1
238,8edf8f83a8fd47ed421a8d25d914aabf,0.412015,0.644898,cluster4
239,8edf8f83a8fd47ed421a8d25d914aabf,0.411979,0.644897,cluster4
240,90bea494391f29698016f629720fcc59,0.295341,0.662566,cluster1
241,90bea494391f29698016f629720fcc59,0.295341,0.662566,cluster1
242,925ec2a90d227b8ae785ab8af4463270,0.432684,0.674341,cluster4
243,925ec2a90d227b8ae785ab8af4463270,0.432686,0.674342,cluster4
244,925ec2a90d227b8ae785ab8af4463270,0.432686,0.674339,cluster4
245,934643f4e69483c5592295a0492983af,0.449188,0.675416,cluster6
246,93a030f43dd02075ee43e32b0804bc31,0.259351,0.629824,cluster1
247,93a030f43dd02075ee43e32b0804bc31,0.259353,0.62982,cluster1
248,93a030f43dd02075ee43e32b0804bc31,0.259353,0.629819,cluster1
249,93a030f43dd02075ee43e32b0804bc31,0.25935,0.629816,cluster1
250,93a030f43dd02075ee43e32b0804bc31,0.259316,0.629811,cluster1
251,93a030f43dd02075ee43e32b0804bc31,0.258679,0.629023,cluster1
252,97e63ae6d3b2f7ce0595622772ce103c,0.357411,0.67492,cluster10
253,97e63ae6d3b2f7ce0595622772ce103c,0.35783,0.675211,cluster10
254,97e63ae6d3b2f7ce0595622772ce103c,0.357839,0.675218,cluster10
255,97e63ae6d3b2f7ce0595622772ce103c,0.35777,0.675187,cluster10
256,9b8354f84d1212b37e81a3fd0b744333,0.381809,0.667102,cluster7
257,9ede4db7fc1fc226af16c1a2cb539abc,0.256702,0.6359,cluster1
258,9ede4db7fc1fc226af16c1a2cb539abc,0.2567,0.6359,cluster1
259,925ec2a90d227b8ae785ab8af4463270,0.43269,0.674339,cluster4
260,9a5ce38981e7ebd8c1c75b1992ad4d52,0.251579,0.616338,cluster1
261,9dffd36457a9c715c409eb6654b4eb46,0.402151,0.657034,cluster5
262,a0bf7d35f083c4c071c0328a038cad8a,0.476395,0.683826,cluster3
263,a0bf7d35f083c4c071c0328a038cad8a,0.476395,0.683826,cluster3
264,b00cdeb65fc6db067666b6e58b6426d5,0.525283,0.727566,cluster9
265,b00cdeb65fc6db067666b6e58b6426d5,0.525283,0.727566,cluster9
266,b00cdeb65fc6db067666b6e58b6426d5,0.525282,0.727566,cluster9
267,a6697904dcebf2447b6a4a770b01e617,0.422297,0.650341,cluster4
268,a6de03563bb003dabfe3b6cd4c1760a6,0.385949,0.661031,cluster5
269,a6de03563bb003dabfe3b6cd4c1760a6,0.385975,0.661019,cluster5
270,a6de03563bb003dabfe3b6cd4c1760a6,0.385963,0.661019,cluster5
271,ac1cccd4842c928ee139bf338139993a,0.242984,0.616345,cluster1
272,ac1cccd4842c928ee139bf338139993a,0.242983,0.616008,cluster1
273,ac1cccd4842c928ee139bf338139993a,0.242983,0.616008,cluster1
274,ac1cccd4842c928ee139bf338139993a,0.242983,0.616008,cluster1
275,ac1cccd4842c928ee139bf338139993a,0.242983,0.616008,cluster1
276,ac1cccd4842c928ee139bf338139993a,0.242983,0.616008,cluster1
277,ac1cccd4842c928ee139bf338139993a,0.242983,0.616008,cluster1
278,b00cdeb65fc6db067666b6e58b6426d5,0.525279,0.727569,cluster9
279,b00cdeb65fc6db067666b6e58b6426d5,0.525276,0.727571,cluster9
280,b00cdeb65fc6db067666b6e58b6426d5,0.525275,0.727572,cluster9
281,b00cdeb65fc6db067666b6e58b6426d5,0.525282,0.727566,cluster9
282,b00cdeb65fc6db067666b6e58b6426d5,0.525282,0.727566,cluster9
283,a6697904dcebf2447b6a4a770b01e617,0.422297,0.650341,cluster4
284,a6de03563bb003dabfe3b6cd4c1760a6,0.385949,0.661031,cluster5
285,a76228e9e8265d77038bd9d08322046b,0.260305,0.629123,cluster1
286,a76228e9e8265d77038bd9d08322046b,0.260307,0.629124,cluster1
287,a76228e9e8265d77038bd9d08322046b,0.260308,0.629124,cluster1
288,a76228e9e8265d77038bd9d08322046b,0.26031,0.629125,cluster1
289,ac1cccd4842c928ee139bf338139993a,0.242906,0.616318,cluster1
290,ac1cccd4842c928ee139bf338139993a,0.242963,0.616302,cluster1
291,b0745f7f53a9ba8bc2dda9347088134d,0.266319,0.646202,cluster1
292,b284326ef58e5d8f47d8f02d98fb52f9,0.358799,0.665639,cluster7
293,ba8d4bc9e4c1be4b97c6547b0ba0b96c,0.366922,0.660651,cluster7
294,ba8d4bc9e4c1be4b97c6547b0ba0b96c,0.366927,0.660651,cluster7
295,ba8d4bc9e4c1be4b97c6547b0ba0b96c,0.366867,0.660646,cluster7
296,ba8d4bc9e4c1be4b97c6547b0ba0b96c,0.366867,0.660645,cluster7
297,ba8d4bc9e4c1be4b97c6547b0ba0b96c,0.366867,0.660646,cluster7
298,bf06cdeac7b3f5412e238d2b9e921588,0.483055,0.685686,cluster3
299,bf06cdeac7b3f5412e238d2b9e921588,0.483057,0.685686,cluster3
300,bf06cdeac7b3f5412e238d2b9e921588,0.483055,0.685686,cluster3
301,b284326ef58e5d8f47d8f02d98fb52f9,0.358788,0.665617,cluster7
302,b284326ef58e5d8f47d8f02d98fb52f9,0.358788,0.665618,cluster7
303,b4cce3c3decb5706bfcc7ffd1b054f9b,0.358413,0.675683,cluster10
304,bbab8c4f7df43ea093c89e1b53c1539b,0.358114,0.675132,cluster10
305,b861a5424f7525898dc4053269eb1b55,0.30578,0.661014,cluster10
306,bf2094162a1eed32e78967cea000f7b9,0.342047,0.679365,cluster10
307,c06aca0f4893281c06850eb8cc2e6a3b,0.435068,0.653376,cluster4
308,c30620d77bc9b295fbe871e97dec63f6,0.391905,0.660126,cluster5
309,c3a0e0fc756518a03a46a210a7634a2a,0.359464,0.674891,cluster10
310,c3a0e0fc756518a03a46a210a7634a2a,0.359466,0.67488,cluster10
311,c3a0e0fc756518a03a46a210a7634a2a,0.359466,0.67488,cluster10
312,c3a0e0fc756518a03a46a210a7634a2a,0.359466,0.67488,cluster10
313,c42276e99cd20c7df1e84324a4dff451,0.28057,0.65888,cluster1
314,cbcac53256aedaacc09bd6c872c253bb,0.465993,0.594351,cluster8
315,d01e6e5ed0319794437fd199a1bc920e,0.2603,0.629171,cluster1
316,d08df25450eb798ef73cd23319643603,0.361304,0.668715,cluster7
317,d1543e78373b5b1177fa7c318f3390c4,0.25664,0.632663,cluster1
318,d1543e78373b5b1177fa7c318f3390c4,0.256665,0.632668,cluster1
319,d1543e78373b5b1177fa7c318f3390c4,0.256665,0.632668,cluster1
320,d25a5f7944f217b430c53e65e5a1bfcb,0.280495,0.65861,cluster1
321,c95b346637881ba92e9584019ef67b85,0.509073,0.696233,cluster3
322,d01e6e5ed0319794437fd199a1bc920e,0.26027,0.629159,cluster1
323,d106d5c68bd6583c3fd047af19606cf6,0.317172,0.627186,cluster2
324,c8743f554a726362192e26d797f08411,0.391899,0.659816,cluster5
325,c8743f554a726362192e26d797f08411,0.391895,0.659817,cluster5
326,cc7c9b70af93bed711dcdee2f73108f6,0.469138,0.610959,cluster6
327,d1543e78373b5b1177fa7c318f3390c4,0.256665,0.632668,cluster1
328,d1543e78373b5b1177fa7c318f3390c4,0.256665,0.632668,cluster1
329,d25a5f7944f217b430c53e65e5a1bfcb,0.277074,0.656425,cluster1
330,d455e7712ea3d45c0a9d38a44ca08357,0.36445,0.674986,cluster7
331,d571b1801d35a12088878ead521c3e03,0.376165,0.664281,cluster7
332,d97fe2e148c389343442d166ca2de28a,0.336608,0.591504,cluster2
333,d97fe2e148c389343442d166ca2de28a,0.33661,0.591506,cluster2
334,d9cd343add5f2f5d6494a97c8cb57d89,0.307528,0.664044,cluster10
335,d2bb021713fcca8f6234deb7c1d54a83,0.396285,0.608251,cluster0
336,d607424f08cc64ed066e05a5db5cfb6e,0.410784,0.638959,cluster0
337,d607424f08cc64ed066e05a5db5cfb6e,0.410784,0.638959,cluster0
338,d607424f08cc64ed066e05a5db5cfb6e,0.410773,0.638972,cluster0
339,dadc81859994897e787b577dd7021875,0.444328,0.638059,cluster6
340,d25a5f7944f217b430c53e65e5a1bfcb,0.277074,0.656425,cluster1
341,d2bb021713fcca8f6234deb7c1d54a83,0.396285,0.608251,cluster0
